tuid,source_segment,target_segment,domain
1,Access control ensures that access to assets is authorized and restricted.,"Управление доступом гарантирует, что доступ к активам авторизован и ограничен.",Cybersecurity / Information security
2,"An attack is an attempt to destroy, expose, alter, disable or steal an asset.","Атака — это попытка уничтожить, раскрыть, изменить, вывести из строя или украсть актив.",Cybersecurity / Information security
3,The audit is a systematic and documented process for obtaining audit evidence.,Аудит — это систематический и документированный процесс получения свидетельства аудита.,Cybersecurity / Information security
4,The audit scope defines the extent and boundaries of an audit.,Область аудита определяет объем и границы аудита.,Cybersecurity / Information security
5,Authentication provides assurance that a claimed characteristic of an entity is correct.,"Аутентификация обеспечивает гарантию того, что заявленная характеристика объекта является подлинной.",Cybersecurity / Information security
6,Authenticity is the property that an entity is what it claims to be.,"Подлинность — это свойство, указывающее, что объект представляет собой то, что он заявляет о себе.",Cybersecurity / Information security
7,Availability is the property of being accessible and usable on demand by an authorized entity.,Доступность — это свойство быть доступным и готовым к использованию по запросу авторизованного объекта.,Cybersecurity / Information security
8,A base measure is defined in terms of an attribute and the method for quantifying it.,Основной показатель определяется через атрибут и метод его количественной оценки.,Cybersecurity / Information security
9,Competence is the ability to apply knowledge and skills to achieve intended results.,Компетентность — это способность применять знания и навыки для достижения желаемых результатов.,Cybersecurity / Information security
10,Confidentiality means that information is not disclosed to unauthorized individuals.,"Конфиденциальность означает, что информация не раскрывается неавторизованным лицам.",Cybersecurity / Information security
11,Conformity means fulfilment of a requirement.,Соответствие означает выполнение требования.,Cybersecurity / Information security
12,A consequence is the outcome of an event affecting objectives.,"Последствие — это результат события, оказывающий влияние на цели.",Cybersecurity / Information security
13,Continual improvement is a recurring activity to enhance performance.,Постоянное улучшение — это повторяющаяся деятельность по улучшению показателей деятельности.,Cybersecurity / Information security
14,A control is a measure that modifies risk.,"Средство управления — это мера, которая изменяет риск.",Cybersecurity / Information security
15,A control objective describes what is to be achieved as a result of implementing controls.,"Цель управления описывает, что должно быть достигнуто в результате применения средств управления.",Cybersecurity / Information security
16,Correction is an action to eliminate a detected nonconformity.,Коррекция — это действие для устранения обнаруженного несоответствия.,Cybersecurity / Information security
17,Corrective action eliminates the cause of a nonconformity and prevents recurrence.,Корректирующее действие устраняет причину несоответствия и предотвращает его повторение.,Cybersecurity / Information security
18,A derived measure is defined as a function of two or more values of base measures.,Производный показатель определяется как функция двух или более значений основных показателей.,Cybersecurity / Information security
19,Documented information must be controlled and maintained by the organization.,Документированная информация должна управляться и поддерживаться организацией.,Cybersecurity / Information security
20,Effectiveness is the extent to which planned activities are realized and planned results achieved.,"Результативность — это степень, с которой запланированные задачи выполнены и запланированные результаты достигнуты.",Cybersecurity / Information security
21,An event is an occurrence or change of a particular set of circumstances.,Событие — это возникновение или изменение определенного набора обстоятельств.,Cybersecurity / Information security
22,The external context is the external environment in which the organization seeks to achieve its objectives.,"Внешний контекст — это внешняя среда, в которой организация стремится достичь своих целей.",Cybersecurity / Information security
23,Governance of information security directs and controls information security activities.,Управление информационной безопасностью направляет и контролирует действия в сфере информационной безопасности.,Cybersecurity / Information security
24,The governing body is accountable for the performance and conformity of the organization.,Руководящий орган управления несет ответственность за показатели деятельности и соответствие организации.,Cybersecurity / Information security
25,An indicator is a measure that provides an estimate or evaluation.,"Индикатор — это показатель, который представляет собой прогнозную или вычисляемую оценку.",Cybersecurity / Information security
26,"Information need is the insight necessary to manage objectives, goals, risks and problems.","Информационная потребность — это осознаваемая необходимость управления задачами, целями, рисками и проблемами.",Cybersecurity / Information security
27,Information processing facilities include any information processing system or service.,Средства обработки информации включают любую систему обработки информации или службу.,Cybersecurity / Information security
28,"Information security preserves the confidentiality, integrity and availability of information.","Информационная безопасность обеспечивает сохранение конфиденциальности, целостности и доступности информации.",Cybersecurity / Information security
29,Information security continuity ensures continued information security operations.,Непрерывность информационной безопасности гарантирует постоянное обеспечение информационной безопасности.,Cybersecurity / Information security
30,An information security event indicates a possible breach of information security policy.,Событие информационной безопасности указывает на возможное нарушение политики информационной безопасности.,Cybersecurity / Information security
31,An information security incident is a single or a series of unwanted information security events.,Инцидент информационной безопасности — это одно или последовательность нежелательных событий информационной безопасности.,Cybersecurity / Information security
32,"Information security incident management detects, reports and responds to incidents.","Менеджмент инцидентов информационной безопасности обеспечивает обнаружение, информирование и реагирование на инциденты.",Cybersecurity / Information security
33,An information security management system professional establishes and improves ISMS processes.,Профессионал системы менеджмента информационной безопасности разрабатывает и улучшает процессы СМИБ.,Cybersecurity / Information security
34,An information sharing community is a group of organizations that agree to share information.,"Сообщество обмена информацией — это группа организаций, которые достигли соглашения о совместном использовании информации.",Cybersecurity / Information security
35,"An information system is a set of applications, services and information technology assets.","Информационная система — это совокупность приложений, служб и ИТ-активов.",Cybersecurity / Information security
36,Integrity is the property of accuracy and completeness.,Целостность — это свойство сохранения полноты и точности.,Cybersecurity / Information security
37,An interested party can affect or be affected by a decision or activity.,Заинтересованная сторона может влиять на решения или действия или быть подвержена их влиянию.,Cybersecurity / Information security
38,The internal context is the internal environment in which the organization seeks to achieve its objectives.,"Внутренний контекст — это внутренняя среда, в которой организация стремится достичь своих задач.",Cybersecurity / Information security
39,The level of risk is the magnitude of a risk expressed in terms of consequences and likelihood.,"Уровень риска — это величина риска, выраженная комбинацией последствий и их вероятности.",Cybersecurity / Information security
40,Likelihood is the chance of something happening.,"Вероятность — это возможность того, что что-то произойдет.",Cybersecurity / Information security
41,A management system is a set of interrelated elements to establish policies and objectives.,Система менеджмента — это совокупность взаимосвязанных элементов для разработки политик и задач.,Cybersecurity / Information security
42,A measure is a variable to which a value is assigned as the result of measurement.,"Показатель — это переменная, значение которой присваивается в результате измерения.",Cybersecurity / Information security
43,Measurement is a process to determine a value.,Измерение — это процесс определения значения.,Cybersecurity / Information security
44,A measurement function is an algorithm performed to combine base measures.,"Функция расчета производного показателя — это алгоритм, выполняемый для объединения основных показателей.",Cybersecurity / Information security
45,A measurement method is a logical sequence of operations used in quantifying an attribute.,Метод измерения — это логическая последовательность действий для количественного определения атрибута.,Cybersecurity / Information security
46,"Monitoring is determining the status of a system, a process or an activity.","Мониторинг — это определение состояния системы, процесса или задачи.",Cybersecurity / Information security
47,Nonconformity is non-fulfilment of a requirement.,Несоответствие — это невыполнение требования.,Cybersecurity / Information security
48,Non-repudiation is the ability to prove the occurrence of a claimed event or action.,Неопровержимость авторства — это возможность доказать наступление оспариваемого события или действия.,Cybersecurity / Information security
49,An objective is a result to be achieved.,"Задача — это результат, который должен быть достигнут.",Cybersecurity / Information security
50,An organization is a person or group of people with its own functions and responsibilities.,"Организация — это лицо или группа лиц, наделенные своими собственными функциями и обязанностями.",Cybersecurity / Information security
